Clue,Answer,Type,Requires synonym?,Definition,Explanation,Source
Soft cases used by opera violinists (7),RAVIOLI,hidden word,No,soft cases,hidden word in “opeRA VIOLInists”,https://times-xwd-times.livejournal.com/2498664.html
"Begin to understand material one doesn't finish (6,2)",COTTON ON,assemblage,Yes,begin to understand,"COTTON ON - COTTON (material) + ON{e} (one doesn't finish, i.e. ""one"" without its last letter)",https://times-xwd-times.livejournal.com/1492236.html
Tie up an awkward flower (7),PETUNIA,anagram,No,flower," “awkward” indicates anagram of “tie up an”",https://times-xwd-times.livejournal.com/1492236.html
Uncommon sense in a German city (5),ESSEN,anagram,No,German city,“uncommon” indicates anagram of “sense”,https://times-xwd-times.livejournal.com/1492236.html
Encouraging word for Charlie's predecessor (5),BRAVO,double definition,Yes,encouraging word/ charlie’s predecessor,"BRAVO - double definition, the second referring to the letter names used in, e.g., the NATO phonetic alphabet (Alfa/Alpha, Bravo, Charlie, etc)",https://times-xwd-times.livejournal.com/1492236.html
Initiation that's suitable is in British Museum (7),BAPTISM,assemblage,Yes,initiation,"BAPTISM - APT (suitable) + IS, all inside BM (British Museum)",https://times-xwd-times.livejournal.com/1492236.html
Family member doesn't start to let loose (5),UNTIE,assemblage,Yes,let loose,"UNTIE - {A}UNTIE (Family member doesn't start, i.e. ""Auntie"" without its initial letter)",https://times-xwd-times.livejournal.com/1492236.html
Province in actual centre of Germany (5),REALM,container,Yes,province,"REALM - REAL (actual) + {Ger}M{any} (centre of Germany, i.e. the middle letter of ""Germany"")",https://times-xwd-times.livejournal.com/1492236.html
"Simple dish — not as snob ate in mess (5,2,5)",BEANS ON TOAST,anagram,No,simple dish,“in mess” indicates anagram of “not as snob ate”,https://times-xwd-times.livejournal.com/1492236.html
Extremely desirable drug store (5),DEPOT,assemblage,Yes,store,"DEPOT - D{esirabl}E (Extremely desirable, i.e. the first and last letters of ""desirable"") + POT (drug)",https://times-xwd-times.livejournal.com/1492236.html
Youngster swallows large part of tooth (4),PULP,container,Yes,part of tooth,PULP - PUP swallows L,https://times-xwd-times.livejournal.com/2350199.html
"Lights finally low, central heating on, kiss and cuddle (6)",SMOOCH,assemblage,Yes,kiss and cuddle,SMOOCH - {light}S + MOO + C.H.,https://times-xwd-times.livejournal.com/2350199.html
Scrub fork clean for a bit of breakfast (9),CORNFLAKE,anagram,No,a bit of breakfast,“scrub” indicates anagram of “fork clean”,https://times-xwd-times.livejournal.com/2350199.html
Burned remains after emptying secret store (5),STASH,assemblage,Yes,store,STASH - ASH [burned remains] after S{ecre}T,https://times-xwd-times.livejournal.com/2350199.html
"Loss of earnings shocking to Mexican (6,3)",INCOME TAX,anagram,No,loss of earnings,“shocking” indicates anagram of “to mexican”,https://times-xwd-times.livejournal.com/2350199.html
 Router sends digger round Bath (10),DISPATCHER,container,Yes,router,DISPATCHER - DITCHER round SPA,https://times-xwd-times.livejournal.com/2350199.html
"Smile, darling, although missing a tooth (7)",GRINDER,assemblage,Yes,tooth,"GRINDER - GRIN, DE{a}R",https://times-xwd-times.livejournal.com/2350199.html
Saying little boy almost in shape for ice cream? (7),LACONIC,assemblage,Yes,saying little,LACONIC - LA{d} + CONIC [in shape for ice cream],https://times-xwd-times.livejournal.com/2350199.html
See blonde squirming: why is she red in the face? (9),NOSEBLEED,anagram,No,why is she red in the face,“squirming” indicates anagram of “see blonde”,https://times-xwd-times.livejournal.com/2350199.html
"Portrait of animal so original (4,4)",MONA LISA,anagram,No,portrait,“original” indicates anagram of “animal so”,https://times-xwd-times.livejournal.com/2350199.html
"Speak badly of drug, taken regularly in tiny amount (7)",TRADUCE,assemblage,Yes,speak badly,TRADUCE - D{r}U{g} in TRACE,https://times-xwd-times.livejournal.com/2350199.html
"Palladium, introducing old character, cut back (6)",PRUNED,assemblage,Yes,cut back,"PRUNED - Pd ""introducing"" RUNE",https://times-xwd-times.livejournal.com/2350199.html
"A couple of lines crossing everywhere (3,4)",ALL OVER,assemblage,No,everywhere,ALL OVER - A + LL + OVER,https://times-xwd-times.livejournal.com/2263907.html
"Beatle's back in USSR, playing tricks (5)",RUSES,anagram,No,tricks,RUSES - anagram of [beatl]E + USSR.,https://times-xwd-times.livejournal.com/2263907.html
Check a Buddhist at regular intervals (5),AUDIT,assemblage,No,check,"AUDIT - A [b}U[d]D[h]I[s]T, an amusing idea, with a team of accountants examining the books at the temple.",https://times-xwd-times.livejournal.com/2263907.html
Worker occasionally draws injured people (10),CASUALTIES,assemblage,Yes,injured people,"CASUALTIES - CASUAL + TIES, once again a brilliant surface that is hard to break down.",https://times-xwd-times.livejournal.com/2263907.html
Break out with Toad's means of locomotion (10),SKATEBOARD,anagram,No,means of locomotion,SKATEBOARD - Anagram of BREAK + TOAD'S.,https://times-xwd-times.livejournal.com/2263907.html
Trifling child (5),MINOR,double definition,No,trifling / child,MINOR - Double definition.,https://times-xwd-times.livejournal.com/2263907.html
Begin to deal with notice on deck (7),ADDRESS,assemblage,Yes,begin to deal with,"ADDRESS - AD + DRESS, in the sense of deck the halls.",https://times-xwd-times.livejournal.com/2263907.html
In airport goddess replaces old Christian (8),LUTHERAN,container,Yes,christian,"LUTHERAN -  LUT{-o,+HERA]N.   A brtilliant clue, where a whole word is substituted for a letter.",https://times-xwd-times.livejournal.com/2263907.html
Stand for show again? (9),PREPRESENT,double definition,No,stand for / show again,"REPRESENT - Double definition, the second one semi-jocular.",https://times-xwd-times.livejournal.com/2263907.html
Stop outside or go (6),RESORT,container,Yes,go,"RESORT - RES(OR)T, as a verb.",https://times-xwd-times.livejournal.com/2263907.html
Letters from schoolmaster never enforcing discipline (5),STERN,hidden word,No,enforcing discipline,STERN - hidden in [schoolma]STER N[ever].,https://times-xwd-times.livejournal.com/2263907.html
Aspic possibly combined with pepper (8),CAPSICUM,anagram,No,with pepper,CAPSICUM - Anagram of ASPIC + CUM,https://times-xwd-times.livejournal.com/2263907.html
Busts are terribly hard to grasp (8),ABSTRUSE,anagram,No,hard to grasp,ABSTRUSE - Anagram of BUSTS ARE.,https://times-xwd-times.livejournal.com/2263907.html
"Introduce American drug, ignoring blood group (5,2)",USHER IN,assemblage,Yes,introduce,USHER IN - US HER[o]IN.,https://times-xwd-times.livejournal.com/2263907.html
"No fewer than fifty each in a test (not English) (2,5)",AT LEAST,assemblage,Yes,not fewer than,"AT LEAST - AT(L EA)[e]ST, a rather elaborate clue for an obvious answer.",https://times-xwd-times.livejournal.com/2263907.html
Strong feeling about large person fastening flies? (6),ANGLER,container,Yes,person fastening flies,"ANGLER - ANG(L)ER.   An angler, however, does not necessarily tie his own flies, althought it is traditional to do so.",https://times-xwd-times.livejournal.com/2263907.html
Financial supporter not available to back hairdressing product (5),ANGEL,assemblage,Yes,financial supporter,"ANGEL - NA (not available) reversed [back], GEL (hairdressing product). I first came across this type of angel as backers who invest in theatrical productions, but it can also be used for other kinds of enterprise.",https://times-xwd-times.livejournal.com/2154350.html
Lowest emotional point of commemoration: a dirge (5),NADIR,hidden word,No,lowest emotional point,NADIR - Hidden in [of] {commemoratio}N A DIR{ge},https://times-xwd-times.livejournal.com/2154350.html
The aim's to change a lack of belief in god (7),ATHEISM,anagram,No,"lack of belief in god ",ATHEISM - Anagram [change] THE AIM'S,https://times-xwd-times.livejournal.com/2154350.html
"Reveal temperature in Spanish city (3,2)",LET ON,container,Yes,reveal,LET ON - T (temperature) contained by [in]  LEÓN (Spanish city). ,https://times-xwd-times.livejournal.com/2154350.html
Again plan harvest around first of May (5),REMAP,container,Yes,again plan,REMAP - REAP (harvest) containing [around] M{ay} [first],https://times-xwd-times.livejournal.com/2154350.html
Trade show open (4),FAIR,double definition,No,trade show / open,"FAIR - Two meanings, the second as in 'open and honest'",https://times-xwd-times.livejournal.com/2154350.html
Unmarried man excited Chloe in pub (8),BACHELOR,container,No,unmarried man,BACHELOR - Anagram [excited] of CHLOE contained by [in] BAR (pub),https://times-xwd-times.livejournal.com/2154350.html
"School prize went to son, finally (4)",ETON,assemblage,No,shool,"ETON - {priz}E, {wen}T. {t}O, {so}N [finally]",https://times-xwd-times.livejournal.com/2154350.html
Place to set free American skunk (7),POLECAT,anagram,No,american skunk,POLECAT: (PLACE TO*) is “set free”.,https://times-xwd-times.livejournal.com/2102573.html
Only partially sanguine about money (6),GUINEA,hidden word,No,money,GUINEA: hidden answer.,https://times-xwd-times.livejournal.com/2102573.html
One not allowing large headline (6),BANNER,double definition,No,one not allowing / large headline,BANNER: double definition.,https://times-xwd-times.livejournal.com/2102573.html
The French dine from feeding trough (6),MANGER,double definition,No,the french dine / feeding trough,"MANGER - two definitions, one not really an English definition as such so I’ll consider it wordplay.",https://times-xwd-times.livejournal.com/2554204.html
Rock walls enable repression (10),SWALLOWING,container,Yes,repression,"SWALLOWING - SW(ALLOW)ING. If you swallow emotions, for instance, you repress them.",https://times-xwd-times.livejournal.com/2554204.html
Timmy Thompson’s secret fantasy (4),MYTH,hidden word,No,fantasy,MYTH - contained in ‘Timmy Thompson’. I guess it’s ‘secret’ in the sense that it’s hidden inside.,https://times-xwd-times.livejournal.com/2554204.html
"Don’t have to leave (2,7)",GO WITHOUT,double definition,No,don’t have / leave,"GO WITHOUT - I’m not sure about the second part of this clue. Is it synonymous with ‘go outside’, i.e. ‘depart’ or is it referring to ‘leaving’ something on your plate, for instance? The latter makes a bit more sense to me but it’s exactly the same meaning as the first half of the clue. I suppose that’s allowed!",https://times-xwd-times.livejournal.com/2554204.html
In which to wash pot (4),SINK,double definition,No,in which to wash / pot,SINK - DD. The second definition is a billiards reference.,https://times-xwd-times.livejournal.com/2554204.html
Provisional licence obtained? (9),QUALIFIED,double definition,No,provisional / licence obtained,"QUALIFIED - two definitions, one slightly oblique.",https://times-xwd-times.livejournal.com/2554204.html
Like part of viewer’s money invested in Madrid team (7),RETINAL,container,Yes,part of viewer,RETINAL - RE(TIN)AL.,https://times-xwd-times.livejournal.com/2150459.html
English architect and landscape gardener known in Scotland (4),KENT,double definition,No,english architect and landscape gardener / known in scotland,"KENT - double definition, a fellow I had never heard of, but easily gettable.",https://times-xwd-times.livejournal.com/2150459.html
Hat that’s extremely comfortable crossing northern lake (6),CLOCHE,container,Yes,hat,"CLOCHE - C(LOCH)E, where the enclosing letters come from C[omfortabl]E.",https://times-xwd-times.livejournal.com/2150459.html
Arab friend — European gets one for nothing (11),PALESTINIAN,assemblage,Yes,arab,PALESTINIAN - PAL (friend) + ESTONIAN (European) with I instead of O,https://times-xwd-times.livejournal.com/1692212.html
Scotland’s own Foreign Department (3),AIN,double definition,No,scotland’s own / foreign department,"AIN - dd, the first the Scottish word for ""own"", the second a department in eastern France. There didn't seem to be any likelier option for A?N but I can't say that either of these meanings emerged from my memory with any great sense of familiarity.",https://times-xwd-times.livejournal.com/1692212.html
Ridiculous in a suit in the country (7),TUNISIA,anagram,No,country,TUNISIA - (IN A SUIT)*,https://times-xwd-times.livejournal.com/1692212.html
"Praise silent type, advancing initially into battle (11)",ACCLAMATION,container,Yes,praise,"ACCLAMATION - CLAM (silent type) + A (advancing initally), in ACTION (battle)",https://times-xwd-times.livejournal.com/1692212.html
Make altogether disgusting (5),GROSS,double definition,No,make altogether / disgusting,GROSS - dd,https://times-xwd-times.livejournal.com/1692212.html
"In getting up fast, I remedy fault (7)",DEMERIT,hidden word,No,fault,DEMERIT - hidden reversed in fasT I REMEDy,https://times-xwd-times.livejournal.com/1692212.html
"Prepare vegetables and quickly see to baby (3,3,4)",TOP AND TAIL,double definition,No,prepare vegetables / quickly see to baby,"TOP AND TAIL - dd, though I didn't know the second meaning, which is (Chambers): ""To wash (a baby's) face and buttocks""",https://times-xwd-times.livejournal.com/1692212.html
Traditional accompaniments that are cut off (9),TRIMMINGS,double definition,No,traditional accompaniments / cut off,TRIMMINGS - dd,https://times-xwd-times.livejournal.com/1692212.html
Boat that leads the way for others? (7),LIGHTER,double definition,No,boat / that leads the way for others,"LIGHTER - one of Chambers' definitions for light is: ""(transitive verb) To follow or precede (someone, or his or her path) with a light"", so a person leading the way could perhaps be called a lighter",https://times-xwd-times.livejournal.com/1692212.html
Useless worker endlessly about to finish cell extension (7),DENDRON,container,Yes,cell extension,"DENDRON - DRON{e} (Useless worker endlessly) around END (to finish), to give (Chambers): ""A branching projection of a nerve cell"". Not a word I knew but it seemed believable as I knew of other dendr- words.",https://times-xwd-times.livejournal.com/1692212.html
Man I have heard on the radio (5),ROGER,double definition,No,man / i have heard on the radio,"ROGER - dd, the second referring to (Chambers): ""A word used in signalling and radio-communication for R, in the sense of received (and understood)""",https://times-xwd-times.livejournal.com/1692212.html
Hoofed mammal in Kansas occasionally (3),ASS,assemblage,No,hoofed mammal,ASS - every other letter from (occasionally) kAnSaS.,https://times-xwd-times.livejournal.com/2509187.html
Mischievous goddess had some food (3),ATE,double definition,No,mischievous goddess / had some food,ATE - double definition. Ate is the Greek goddess of mischief and ruin.,https://times-xwd-times.livejournal.com/2509187.html
Rescue dog losing tail (8),RETRIEVE,assemblage,Yes,rescue,RETRIEVE - RETRIEVEr (dog) minus its last letter (losing tail).,https://times-xwd-times.livejournal.com/2509187.html
Fish holding short stick in biannual event (8),SOLSTICE,container,Yes,biannual event,SOLSTICE - SOLE (fish) containing (holding) all-but-the-last letter of (short) STICk.,https://times-xwd-times.livejournal.com/2509187.html
Compound kept by some Westerners (5),ESTER,hidden word,No,compound,"ESTER - Hidden (indicated by ""kept by some"") in wESTERners, giving a type of chemical compound",https://times-xwd-times.livejournal.com/1340895.html
Trade vehicles (7),TRAFFIC,double definition,No,trade / vehicles,TRAFFIC - Nice straightforward DD,https://times-xwd-times.livejournal.com/1340895.html
Some prefer a lion that's untamed (5),FERAL,hidden word,No,untamed,"FERAL - Hidden (indicated by ""some"") in preFER A Lion",https://times-xwd-times.livejournal.com/1340895.html
City offering what’s collected in box for down-and-outs (6),OXFORD,hidden word,No,city,OXFORD – Hidden in {b}OX FOR D{own-and-outs},https://times-xwd-times.livejournal.com/1898241.html
Weapons found in farmstead (4),ARMS,hidden word,No,weapons,ARMS - Hidden in {f}ARMS{tead},https://times-xwd-times.livejournal.com/1747794.html
"For example, one / sort of anaesthetic (6)",NUMBER,double definition,No,"for example, one / sort of anaesthetic",NUMBER - Two definitions of sorts,https://times-xwd-times.livejournal.com/1747794.html
Quieter part of distillery (7),STILLER,hidden word,No,quieter,STILLER - Hidden in [part of] {di}STILLER{y},https://times-xwd-times.livejournal.com/1747794.html
"Sprinter, perhaps, allowed in running heat (7)",ATHLETE,container,Yes,sprinter,ATHLETE - LET (allowed) inside an anagram of (running) HEAT.,https://times-xwd-times.livejournal.com/1753496.html
Movable chair some used anywhere (5),SEDAN,hidden word,No,movable chair,SEDAN - hidden in (some) uSED ANywhere.,https://times-xwd-times.livejournal.com/1753496.html
"Change designation of item, an error partly reversed (6)",RENAME,hidden word,No,change designation of item,RENAME - Hidden reverse (indicated by partly and reversed respectively) in itEM AN ERror,https://times-xwd-times.livejournal.com/1435278.html
Proudly claim vessel carries spades (5),BOAST,container,Yes,proudly claim,BOAST - BOAT (vessel) 'carries' an S (spades in bridge notation),https://times-xwd-times.livejournal.com/1435278.html
"Maybe Tom from Warrington, one with a lingering happy expression (8,3)",CHESHIRE CAT,double definition,No,maybe tom from warrington / one with lingering happy expression,"CHESHIRE CAT - DD, the first being a pleasant cryptic (Tom cat and Warrington being a town in Cheshire)",https://times-xwd-times.livejournal.com/1435278.html
"Firm multiplied by showing work of Dickens (4,5)",HARD TIMES,assemblage,Yes,work of dickens,HARD TIMES - HARD (firm) + TIMES (multiplied by),https://times-xwd-times.livejournal.com/1435278.html
Safe place to jump (5),VAULT,double definition,No,safe place / jump,VAULT - Straightforward DD,https://times-xwd-times.livejournal.com/1435278.html
Certain about Chile’s capital being somewhere in the Andes (5),SUCRE,container,Yes,somewhere in the andes,"SUCRE – SURE = certain, around C(hile)",https://times-xwd-times.livejournal.com/2355078.html
No tears about disloyalty (7),TREASON,anagram,No,disloyalty,TREASON – (NO TEARS)*,https://times-xwd-times.livejournal.com/2355078.html
Trinity right within you (5),THREE,container,Yes,trinity,THREE: R in THEE.,https://times-xwd-times.livejournal.com/1881012.html
This country is in ruin — am I biased? (7),NAMIBIA,hidden word,No,country,NAMIBIA - The African nation is indeed 'in' ruiN AM I BIAsed,https://times-xwd-times.livejournal.com/1665715.html
Come gallantly holding final letter (5),OMEGA,hidden word,No,final letter,OMEGA - Hidden in (indicated by 'holding') cOME GAllantly,https://times-xwd-times.livejournal.com/1665715.html
Dairy product a girl takes in bed (7),RICOTTA,container,Yes,dairy product,"RICOTTA - COT in RITA (random, typically uneducated, woman)",https://times-xwd-times.livejournal.com/1964217.html
Put friend in the picture in a relaxed way (10),INFORMALLY,assemblage,Yes,in a relaxed way,INFORMALLY - INFORM ALLY,https://times-xwd-times.livejournal.com/1964217.html
Guy from Egypt he obliges (4),THEO,hidden word,No,guy,THEO - hidden word: EgypT HE Obliges.,https://times-xwd-times.livejournal.com/2095876.html
Find beer possibly as favour (8),BEFRIEND,anagram,No,favour,BEFRIEND - straight anagram ('possibly') of FIND BEER = BEFRIEND.,https://times-xwd-times.livejournal.com/2095876.html
Warm and moist — like some marine life? (6),CLAMMY,double definition,No,warm and moist / like some marine life,"another double definition, the second one a touch whimsical.",https://times-xwd-times.livejournal.com/1881012.html
Thriving source of water (4),WELL,double definition,No,triving / source of water," and still another double definition.",https://times-xwd-times.livejournal.com/1881012.html
Deep thought: odd state to beset one (10),RUMINATION,container,Yes,deep thought,"RUM NATION, around I for one.",https://times-xwd-times.livejournal.com/1881012.html
"Monkey lives around borders of Kenya, to the west (4)",SAKI,container,Yes,monkey," IS around K{eny}A, all written right to left. I didn’t know the monkey, but I did know there was a humourist who called himself SAKI, so I could guess where the name came from.",https://times-xwd-times.livejournal.com/1881012.html
"Passage which crosses river, ending in Idaho (6)",THROAT,container,Yes,passage,"THAT (which), around R (river) and O (ending in “Idaho”).",https://times-xwd-times.livejournal.com/1881012.html
A silencing word remains (3),ASH,assemblage,Yes,remains,"A, then SH.",https://times-xwd-times.livejournal.com/1881012.html
"Just this for Latin scholar, with others hanging around (7)",ETHICAL,container,Yes,just,"HIC [this, for Latin scholar] with ET AL [others] ""hanging around”",https://times-xwd-times.livejournal.com/1985714.html
Be sad for us in midst of glumness (5),MOURN,container,No,be sad,OUR [for us] in {glu}MN{ess},https://times-xwd-times.livejournal.com/1985714.html
" Very harmful to take out city on Atlantic coast, American (11)",DELETERIOUS,assemblage,Yes,very harmful,DELETE RIO US [take out | city on Atlantic coast | American],https://times-xwd-times.livejournal.com/1985714.htmlhttps://times-xwd-times.livejournal.com/1985714.html
Geographical area in study with infestation by insect (6),CANTON,container,Yes,geographical area,"CON [study] ""with infestation by"" ANT [insect]",https://times-xwd-times.livejournal.com/1985714.htmlhttps://times-xwd-times.livejournal.com/1985714.html
"Surrounded by a fog, holding on to daughter (6)",AMIDST,container,No,surrounded by,"A MIST [a fog], ""holding on to"" D [daughter]",https://times-xwd-times.livejournal.com/1985714.html
Is jabbing American after somewhat cheeky expression of age (8),ARCHAISM,container,No,expression of age,"IS ""jabbing"" AM [American], after ARCH [somewhat cheeky]",https://times-xwd-times.livejournal.com/1985714.html
"Doctor locates legible astronomical reference (9,5)",CELESTIAL GLOBE,anagram,No,astronomical reference," (LOCATES LEGIBLE*) [""doctor...""]",https://times-xwd-times.livejournal.com/1985714.html
Suspends comments about post finally (5),STAYS,container,No,suspends,SAYS [comments] about {pos}T,https://times-xwd-times.livejournal.com/1985714.html
" Smashed single forehand? I'm not upset (2,4,8)",NO HARD FEELINGS,anagram,No,I’m not upset,"(SINGLE FOREHAND*) [""smashed""]",https://times-xwd-times.livejournal.com/1985714.html
"Steep drop in price amended, then restated without right (9)",PRECIPICE,assemblage,No,steep drop,"(PRICE*) [""amended""] + P{r}ICE [price again, this time minus R for right]",https://times-xwd-times.livejournal.com/1985714.html
A story with beginning repeated is easily approached (7),AFFABLE,assemblage,Yes,easily approached,"A F-FABLE [a | story, with (its first letter) repeated]",https://times-xwd-times.livejournal.com/1985714.html
"Boy with it turns, following effect of the moon? (5)",TIDAL,assemblage,Yes,effect of the moon," LAD [boy] with IT, all reversed",https://times-xwd-times.livejournal.com/1985714.html
Relaxation involves identification of alternative holiday venue (6),RESORT,container,Yes,holiday venue,"REST [relaxation] involves OR [identification of alternative, wordily enough]",https://times-xwd-times.livejournal.com/1985714.html
" Woman impresses youngster, eating a Mexican dish (9)",ENCHILADA,container,Yes,Mexican dish,"ENA [woman] impresses CHILD [youngster], eating A",https://times-xwd-times.livejournal.com/1985714.html
Material in patch in overalls (5),CHINO,hidden word,No,material,hidden in {pat}CH IN O{veralls},https://times-xwd-times.livejournal.com/1985714.html
" Trial in US city making the news (6)",LATEST,container,Yes,making the news,L.A. TEST [trial in US city],https://times-xwd-times.livejournal.com/1985714.html
I very much refuse to consider weather indicator (6),ISOBAR,assemblage,Yes,weather indicator,I SO BAR [I | very much | refuse to consider],https://times-xwd-times.livejournal.com/1985714.html
Historic city reduced in particular view of the past (10),RETROSPECT,container,Yes,view of the past,"TRO{y} [historic city, ""reduced""] in RESPECT [particular]",https://times-xwd-times.livejournal.com/1985714.html
Despairing poet moving end of verse to earlier position (5),BLEAK,assemblage,Yes,despairing,BLAKE [poet] moving {vers}E up a couple of letters,https://times-xwd-times.livejournal.com/1985714.html
"With pride, she loses in brawling (7)",LIONESS,anagram,No,"with pride, she",Anagram of LOSES IN,https://times-xwd-times.livejournal.com/2286945.html
Design on cent’s piece coined for particular occasion (5),NONCE,hidden word,No,coined for particular occasion,"hidden in [desig]N ON CE[nt], just biffed by me.",https://times-xwd-times.livejournal.com/2286945.html
"Server misses one playing pool game (5,4)",WATER POLO,assemblage,Yes,game,"WA[i]TER + anagram of POOL.   I biffed, and did not even realize 'pool' was not part of the definition - which it easily could be",https://times-xwd-times.livejournal.com/2286945.html
Learner in military group not exactly bright (5),UNLIT,container,Yes,not exactly bright,"UN(L)IT, a relief from the usual chestnut.",https://times-xwd-times.livejournal.com/2286945.html
"Might it be that sister? Poor nun in trouble! (8,7)",RELATIVE PRONOUN,anagram,Yes,might it be that,RELATIVE + anagram of POOR NUN.   The DBE is clearly indicated by the question mark.,https://times-xwd-times.livejournal.com/2286945.html
