Evaluation of meta-llama/Meta-Llama-3-8B-Instruct

Prompts: 
 Definition_prompt: 
You are a cryptic crosswords expert. I will give you a clue. Every clue has two parts: a definition and wordplay. Definition is a synonym of the answer. Wordplay is the rest of the clue. Please extract the wordplay type for this clue.
Here is a list of all possible wordplay types: anagram, hidden word, double definition, container, assemblage. Only output the wordplay type.
Clue: {clue}
Output: 
 Wordplay_prompt:
You are a cryptic crosswords expert. I will give you a clue. Every clue has two parts: a definition and wordplay. Definition is a synonym of the answer. Wordplay is the rest of the clue. Please extract the wordplay type for this clue.
Here is a list of all possible wordplay types: anagram, hidden word, double definition, container, assemblage. Only output the wordplay type.
Clue: {clue}
Output:

Definition Accuracy: 0.0
Wordplay Accuracy: 0.16923076923076924


Definition Responses



Wordplay Responses

Clue: Proposed name I don't change (9) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Trap surrounded by enchantment is irresistible (8) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Standard offer of a choice of ends for Nottingham (8) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Cuckoo making beastly noise (7) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Encouraging sign from sleepy land? (3) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Back in a short while (6) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Wear out an important part of a car (4) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Stipulations for academic periods (5) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: My virtue (8) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Sprite seen in hotel foyer (3) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Error concealed by city police (4) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: In Berlin, dainty girl (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Singer in first ENO Rigoletto (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Section of Norman arch is thrown into disorder? (9) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Soft cases used by opera violinists (7) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Begin to understand material one doesn't finish (6,2) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Tie up an awkward flower (7) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Uncommon sense in a German city (5) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Encouraging word for Charlie's predecessor (5) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Initiation that's suitable is in British Museum (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Family member doesn't start to let loose (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Province in actual centre of Germany (5) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Simple dish — not as snob ate in mess (5,2,5) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Extremely desirable drug store (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Youngster swallows large part of tooth (4) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Lights finally low, central heating on, kiss and cuddle (6) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Scrub fork clean for a bit of breakfast (9) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Burned remains after emptying secret store (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Loss of earnings shocking to Mexican (6,3) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue:  Router sends digger round Bath (10) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Smile, darling, although missing a tooth (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Saying little boy almost in shape for ice cream? (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: See blonde squirming: why is she red in the face? (9) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Portrait of animal so original (4,4) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Speak badly of drug, taken regularly in tiny amount (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Palladium, introducing old character, cut back (6) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: A couple of lines crossing everywhere (3,4) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Beatle's back in USSR, playing tricks (5) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Check a Buddhist at regular intervals (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Worker occasionally draws injured people (10) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Break out with Toad's means of locomotion (10) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Trifling child (5) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Begin to deal with notice on deck (7) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: In airport goddess replaces old Christian (8) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Stand for show again? (9) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Stop outside or go (6) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Letters from schoolmaster never enforcing discipline (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Aspic possibly combined with pepper (8) | Wordplay: ['anagram'] | Response: container | ❌ 
Clue: Busts are terribly hard to grasp (8) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Introduce American drug, ignoring blood group (5,2) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: No fewer than fifty each in a test (not English) (2,5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Strong feeling about large person fastening flies? (6) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Financial supporter not available to back hairdressing product (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Lowest emotional point of commemoration: a dirge (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: The aim's to change a lack of belief in god (7) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Reveal temperature in Spanish city (3,2) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Again plan harvest around first of May (5) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Trade show open (4) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Unmarried man excited Chloe in pub (8) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: School prize went to son, finally (4) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Place to set free American skunk (7) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Only partially sanguine about money (6) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: One not allowing large headline (6) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: The French dine from feeding trough(6) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Rock walls enable repression(10) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Timmy Thompson’s secret fantasy(4) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Don’t have to leave(10) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: In which to wash pot(4) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Provisional licence obtained?(9) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Like part of viewer’s money invested in Madrid team (7) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: English architect and landscape gardener known in Scotland (4) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Hat that’s extremely comfortable crossing northern lake (6) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Arab friend — European gets one for nothing (11) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Scotland’s own Foreign Department (3) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Ridiculous in a suit in the country (7) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Praise silent type, advancing initially into battle (11) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Make altogether disgusting (5) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: In getting up fast, I remedy fault (7) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Prepare vegetables and quickly see to baby (3,3,4) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Traditional accompaniments that are cut off (9) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Boat that leads the way for others? (7) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Useless worker endlessly about to finish cell extension (7) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Man I have heard on the radio (5) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Hoofed mammal in Kansas occasionally (3) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Mischievous goddess had some food (3) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Rescue dog losing tail (8) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Fish holding short stick in biannual event (8) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Compound kept by some Westerners (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Trade vehicles (7) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Some prefer a lion that's untamed (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: City offering what’s collected in box for down-and-outs (6) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Weapons found in farmstead (4) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: For example, one / sort of anaesthetic (6) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Quieter part of distillery (7) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Sprinter, perhaps, allowed in running heat (7) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Movable chair some used anywhere (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Change designation of item, an error partly reversed (6) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Proudly claim vessel carries spades (5) | Wordplay: ['container'] | Response: container | ✅ 
Clue: Maybe Tom from Warrington, one with a lingering happy expression (8,3) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Firm multiplied by showing work of Dickens (4,5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Safe place to jump (5) | Wordplay: ['double definition'] | Response: hidden word | ❌ 
Clue: Certain about Chile’s capital being somewhere in the Andes (5) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: No tears about disloyalty (7) | Wordplay: ['anagram'] | Response: hidden word | ❌ 
Clue: Trinity right within you (5) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: This country is in ruin — am I biased? (7) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Come gallantly holding final letter (5) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Dairy product a girl takes in bed (7) | Wordplay: ['container'] | Response: hidden word | ❌ 
Clue: Put friend in the picture in a relaxed way (10) | Wordplay: ['assemblage'] | Response: hidden word | ❌ 
Clue: Guy from Egypt he obliges (4) | Wordplay: ['hidden word'] | Response: hidden word | ✅ 
Clue: Find beer possibly as favour (8) | Wordplay: ['anagram'] | Response: hidden word | ❌ 


Total Clues: 130
